timestamp,n_particles,iters,n_threads_cpu,tree_us,serial_us,gpu_us,integrate_us,total_us,seq_us,speedup
2026-05-22T12:15:00,1000,10,1,973,3260,2070,67,6370,18490,2.9027
2026-05-22T12:15:01,1000,10,2,975,3266,2056,144,6441,18490,2.8707
2026-05-22T12:15:02,1000,10,4,974,3785,2553,252,7564,18490,2.4445
2026-05-22T12:15:03,1000,10,8,972,3265,2091,359,6687,18490,2.7651
2026-05-22T12:15:04,5000,10,1,6621,78916,3006,247,88790,148605,1.6737
2026-05-22T12:15:06,5000,10,2,5878,79067,3039,356,88340,148605,1.6822
2026-05-22T12:15:07,5000,10,4,6272,78604,3032,429,88337,148605,1.6823
2026-05-22T12:15:08,5000,10,8,5925,78947,2999,631,88502,148605,1.6791
2026-05-22T12:15:10,10000,10,1,17094,312408,3581,447,333530,471959,1.4150
2026-05-22T12:15:12,10000,10,2,17316,315210,3611,529,336666,471959,1.4019
2026-05-22T12:15:14,10000,10,4,17140,312432,3608,646,333826,471959,1.4138
2026-05-22T12:15:16,10000,10,8,17149,313921,3631,801,335502,471959,1.4067
2026-05-22T12:15:42,50000,10,1,144508,8142823,7216,2059,8296606,4465686,0.5383
2026-05-22T12:16:08,50000,10,2,145268,8159366,7181,2156,8313971,4465686,0.5371
2026-05-22T12:16:34,50000,10,4,144380,8036171,7595,2266,8190412,4465686,0.5452
2026-05-22T12:17:00,50000,10,8,143372,8191134,7600,2468,8344574,4465686,0.5352
2026-05-22T12:18:35,100000,10,1,322296,30970912,11328,4387,31308923,10871869,0.3472
2026-05-22T12:20:10,100000,10,2,324869,30909340,11298,4129,31249636,10871869,0.3479
2026-05-22T12:21:46,100000,10,4,322232,30947444,11778,4298,31285752,10871869,0.3475
2026-05-22T12:23:21,100000,10,8,323008,30874657,11902,4503,31214070,10871869,0.3483
2026-05-22T13:01:43,500000,10,1,2215903,764018505,81292,20563,766336263,76497487,0.0998
2026-05-22T13:40:07,500000,10,2,2205196,764593557,83471,20856,766903080,76497487,0.0997
2026-05-22T14:18:31,500000,10,4,2222385,764528560,83444,21423,766855812,76497487,0.0998
