timestamp,version,n_particles,iters,n_ranks,n_threads,tree_us,force_us,integrate_us,total_us,speedup
2026-05-22T11:42:04,v1,5000,10,1,1,3069,14045,103,17217,8.6313
2026-05-22T11:42:14,v1,5000,10,1,2,3105,17639,128,20872,7.1198
2026-05-22T11:42:23,v1,5000,10,1,4,3079,14347,171,17597,8.4449
2026-05-22T11:42:33,v1,5000,10,1,8,4402,14597,245,19244,7.7221
2026-05-22T11:42:43,v1,5000,10,2,1,3077,6932,96,10105,14.7061
2026-05-22T11:42:52,v1,5000,10,2,2,3014,7127,122,10263,14.4797
2026-05-22T11:43:02,v1,5000,10,2,4,3089,7050,169,10308,14.4165
2026-05-22T11:43:12,v1,5000,10,2,8,3200,7280,240,10720,13.8624
2026-05-22T11:43:21,v1,5000,10,4,1,3054,3164,94,6312,23.5433
2026-05-22T11:43:31,v1,5000,10,4,2,3049,2007,66,5122,29.0131
2026-05-22T11:43:41,v1,5000,10,4,4,3078,1028,47,4153,35.7826
2026-05-22T11:43:50,v1,5000,10,4,8,3093,556,37,3686,40.3161
2026-05-22T11:44:00,v1,10000,10,1,1,6428,44148,212,50788,9.2927
2026-05-22T11:44:10,v1,10000,10,1,2,6437,43971,235,50643,9.3193
2026-05-22T11:44:20,v1,10000,10,1,4,6494,44960,285,51739,9.1219
2026-05-22T11:44:29,v1,10000,10,1,8,6383,42682,361,49426,9.5488
2026-05-22T11:44:39,v1,10000,10,2,1,6206,19662,193,26061,18.1098
2026-05-22T11:44:49,v1,10000,10,2,2,6488,18118,224,24830,19.0076
2026-05-22T11:44:58,v1,10000,10,2,4,6117,17925,267,24309,19.4150
2026-05-22T11:45:08,v1,10000,10,2,8,6184,18504,342,25030,18.8557
2026-05-22T11:45:18,v1,10000,10,4,1,6147,7787,183,14117,33.4320
2026-05-22T11:45:28,v1,10000,10,4,2,6210,4310,118,10638,44.3654
2026-05-22T11:45:37,v1,10000,10,4,4,6116,2112,80,8308,56.8078
2026-05-22T11:45:47,v1,10000,10,4,8,6142,1249,57,7448,63.3672
2026-05-22T11:45:58,v1,50000,10,1,1,35704,378567,1049,415320,10.7524
2026-05-22T11:46:09,v1,50000,10,1,2,36831,377790,1066,415687,10.7429
2026-05-22T11:46:20,v1,50000,10,1,4,35531,378975,1124,415630,10.7444
2026-05-22T11:46:31,v1,50000,10,1,8,36752,375687,1211,413650,10.7958
2026-05-22T11:46:41,v1,50000,10,2,1,35413,172777,1075,209265,21.3399
2026-05-22T11:46:51,v1,50000,10,2,2,33895,170278,1037,205210,21.7615
2026-05-22T11:47:02,v1,50000,10,2,4,35145,170847,1101,207093,21.5637
2026-05-22T11:47:12,v1,50000,10,2,8,34063,170298,1200,205561,21.7244
2026-05-22T11:47:22,v1,50000,10,4,1,32151,73435,1048,106634,41.8786
2026-05-22T11:47:32,v1,50000,10,4,2,32182,39633,528,72343,61.7293
2026-05-22T11:47:42,v1,50000,10,4,4,32507,19293,347,52147,85.6365
2026-05-22T11:47:52,v1,50000,10,4,8,32337,10236,209,42782,104.3824
2026-05-22T11:48:05,v1,100000,10,1,1,77413,934213,2187,1013813,10.7237
2026-05-22T11:48:18,v1,100000,10,1,2,74759,913608,2213,990580,10.9753
2026-05-22T11:48:31,v1,100000,10,1,4,73616,914793,2237,990646,10.9745
2026-05-22T11:48:43,v1,100000,10,1,8,73345,927083,2351,1002779,10.8417
2026-05-22T11:48:55,v1,100000,10,2,1,71003,409349,2196,482548,22.5301
2026-05-22T11:49:06,v1,100000,10,2,2,72683,410309,2221,485213,22.4064
2026-05-22T11:49:17,v1,100000,10,2,4,74035,411406,2220,487661,22.2939
2026-05-22T11:49:29,v1,100000,10,2,8,71032,412262,2346,485640,22.3867
2026-05-22T11:49:39,v1,100000,10,4,1,71701,178989,2157,252847,42.9978
2026-05-22T11:49:50,v1,100000,10,4,2,67577,94117,1025,162719,66.8138
2026-05-22T11:50:00,v1,100000,10,4,4,68567,47605,575,116747,93.1233
2026-05-22T11:50:10,v1,100000,10,4,8,67927,23399,354,91680,118.5850
2026-05-22T11:50:20,v2,5000,10,1,1,3134,15011,101,18246,8.1445
2026-05-22T11:50:30,v2,5000,10,1,2,3160,14469,128,17757,8.3688
2026-05-22T11:50:39,v2,5000,10,1,4,3447,14582,171,18200,8.1651
2026-05-22T11:50:49,v2,5000,10,1,8,3144,14453,240,17837,8.3313
2026-05-22T11:50:59,v2,5000,10,2,1,3153,7555,56,10764,13.8057
2026-05-22T11:51:08,v2,5000,10,2,2,3261,8866,78,12205,12.1757
2026-05-22T11:51:18,v2,5000,10,2,4,3200,8202,126,11528,12.8908
2026-05-22T11:51:28,v2,5000,10,2,8,3248,8628,195,12071,12.3109
2026-05-22T11:51:37,v2,5000,10,4,1,3152,3788,30,6970,21.3207
2026-05-22T11:51:47,v2,5000,10,4,2,3245,2256,30,5531,26.8677
2026-05-22T11:51:57,v2,5000,10,4,4,3192,1180,24,4396,33.8046
2026-05-22T11:52:06,v2,5000,10,4,8,3209,648,25,3882,38.2805
2026-05-22T11:52:16,v2,10000,10,1,1,6713,43079,211,50003,9.4386
2026-05-22T11:52:26,v2,10000,10,1,2,6533,43310,247,50090,9.4222
2026-05-22T11:52:36,v2,10000,10,1,4,6506,42386,279,49171,9.5983
2026-05-22T11:52:45,v2,10000,10,1,8,6446,42788,356,49590,9.5172
2026-05-22T11:52:55,v2,10000,10,2,1,6438,22554,109,29101,16.2180
2026-05-22T11:53:05,v2,10000,10,2,2,6516,21858,135,28509,16.5547
2026-05-22T11:53:15,v2,10000,10,2,4,6506,23679,176,30361,15.5449
2026-05-22T11:53:24,v2,10000,10,2,8,6468,22883,253,29604,15.9424
2026-05-22T11:53:34,v2,10000,10,4,1,6622,11699,57,18378,25.6807
2026-05-22T11:53:44,v2,10000,10,4,2,7141,6271,43,13455,35.0768
2026-05-22T11:53:53,v2,10000,10,4,4,6577,3090,35,9702,48.6455
2026-05-22T11:54:03,v2,10000,10,4,8,6513,1508,37,8058,58.5702
2026-05-22T11:54:14,v2,50000,10,1,1,37662,382188,1134,420984,10.6077
2026-05-22T11:54:25,v2,50000,10,1,2,37559,380282,1113,418954,10.6591
2026-05-22T11:54:36,v2,50000,10,1,4,38177,379444,1132,418753,10.6642
2026-05-22T11:54:47,v2,50000,10,1,8,37726,379307,1260,418293,10.6760
2026-05-22T11:54:57,v2,50000,10,2,1,36193,188657,536,225386,19.8135
2026-05-22T11:55:07,v2,50000,10,2,2,36161,191862,552,228575,19.5371
2026-05-22T11:55:18,v2,50000,10,2,4,36583,193346,585,230514,19.3727
2026-05-22T11:55:28,v2,50000,10,2,8,39250,189071,674,228995,19.5012
2026-05-22T11:55:38,v2,50000,10,4,1,36185,93753,259,130197,34.2995
2026-05-22T11:55:48,v2,50000,10,4,2,36278,49591,161,86030,51.9085
2026-05-22T11:55:58,v2,50000,10,4,4,36309,24024,106,60439,73.8875
2026-05-22T11:56:08,v2,50000,10,4,8,37089,13828,71,50988,87.5831
2026-05-22T11:56:21,v2,100000,10,1,1,78440,920327,2316,1001083,10.8601
2026-05-22T11:56:33,v2,100000,10,1,2,77563,915901,2514,995978,10.9158
2026-05-22T11:56:46,v2,100000,10,1,4,76644,918955,2335,997934,10.8944
2026-05-22T11:56:59,v2,100000,10,1,8,76806,927819,2525,1007150,10.7947
2026-05-22T11:57:10,v2,100000,10,2,1,77326,461567,1089,539982,20.1338
2026-05-22T11:57:22,v2,100000,10,2,2,77813,462920,1093,541826,20.0652
2026-05-22T11:57:33,v2,100000,10,2,4,77287,459506,1121,537914,20.2112
2026-05-22T11:57:44,v2,100000,10,2,8,76492,470140,1267,547899,19.8428
2026-05-22T11:57:55,v2,100000,10,4,1,76678,237198,512,314388,34.5811
2026-05-22T11:58:05,v2,100000,10,4,2,76617,117854,309,194780,55.8161
2026-05-22T11:58:16,v2,100000,10,4,4,78176,59538,193,137907,78.8348
2026-05-22T11:58:26,v2,100000,10,4,8,77872,30390,120,108382,100.3107
2026-05-22T11:58:35,v3,5000,10,1,1,3240,16249,106,19595,7.5838
2026-05-22T11:58:45,v3,5000,10,1,2,3264,15672,132,19068,7.7934
2026-05-22T11:58:55,v3,5000,10,1,4,4665,15725,174,20564,7.2265
2026-05-22T11:59:04,v3,5000,10,1,8,3261,16289,248,19798,7.5061
2026-05-22T11:59:14,v3,5000,10,2,1,3384,7097,97,10578,14.0485
2026-05-22T11:59:24,v3,5000,10,2,2,3447,7199,123,10769,13.7993
2026-05-22T11:59:33,v3,5000,10,2,4,3418,7162,168,10748,13.8263
2026-05-22T11:59:43,v3,5000,10,2,8,3408,8447,235,12090,12.2916
2026-05-22T11:59:53,v3,5000,10,4,1,3774,3289,94,7157,20.7636
2026-05-22T12:00:02,v3,5000,10,4,2,4031,1915,65,6011,24.7222
2026-05-22T12:00:12,v3,5000,10,4,4,3984,1086,53,5123,29.0074
2026-05-22T12:00:22,v3,5000,10,4,8,4036,651,43,4730,31.4175
2026-05-22T12:00:32,v3,10000,10,1,1,6546,42069,231,48846,9.6622
2026-05-22T12:00:41,v3,10000,10,1,2,6661,42339,245,49245,9.5839
2026-05-22T12:00:51,v3,10000,10,1,4,6641,43688,280,50609,9.3256
2026-05-22T12:01:01,v3,10000,10,1,8,6671,43983,360,51014,9.2516
2026-05-22T12:01:10,v3,10000,10,2,1,6833,17680,227,24740,19.0768
2026-05-22T12:01:20,v3,10000,10,2,2,6815,17210,224,24249,19.4630
2026-05-22T12:01:30,v3,10000,10,2,4,6802,19032,265,26099,18.0834
2026-05-22T12:01:40,v3,10000,10,2,8,6806,17490,353,24649,19.1472
2026-05-22T12:01:49,v3,10000,10,4,1,7526,7958,183,15667,30.1244
2026-05-22T12:01:59,v3,10000,10,4,2,8133,4476,115,12724,37.0920
2026-05-22T12:02:09,v3,10000,10,4,4,7740,2215,87,10042,46.9985
2026-05-22T12:02:18,v3,10000,10,4,8,7750,1582,57,9389,50.2672
2026-05-22T12:02:29,v3,50000,10,1,1,41118,379242,1042,421402,10.5972
2026-05-22T12:02:40,v3,50000,10,1,2,42086,375251,1046,418383,10.6737
2026-05-22T12:02:51,v3,50000,10,1,4,40604,377504,1103,419211,10.6526
2026-05-22T12:03:02,v3,50000,10,1,8,41883,381677,1217,424777,10.5130
2026-05-22T12:03:12,v3,50000,10,2,1,45632,172137,1050,218819,20.4081
2026-05-22T12:03:22,v3,50000,10,2,2,46238,166262,1050,213550,20.9117
