timestamp,n_particles,iters,n_threads,total_us,speedup_vs_seq
2026-05-19T14:35:08,10000,10,1,45606,1.001
2026-05-19T14:35:08,10000,10,2,46453,0.983
2026-05-19T14:35:08,10000,10,4,46601,0.980
2026-05-19T14:35:08,10000,10,8,47050,0.971
2026-05-19T14:35:11,50000,10,1,388265,1.005
2026-05-19T14:35:12,50000,10,2,396410,0.985
2026-05-19T14:35:13,50000,10,4,398718,0.979
2026-05-19T14:35:14,50000,10,8,397804,0.981
2026-05-19T14:35:20,100000,10,1,943773,1.000
2026-05-19T14:35:23,100000,10,2,947202,0.997
