timestamp,version,n_particles,iters,n_ranks,n_threads,tree_us,force_us,integrate_us,total_us,speedup
2026-05-22T11:14:43,v1,5000,10,1,1,11619,14403,103,26125,5.5008
2026-05-22T11:14:53,v1,5000,10,1,2,11709,15972,135,27816,5.1664
2026-05-22T11:15:03,v1,5000,10,1,4,11652,14808,170,26630,5.3965
2026-05-22T11:15:12,v1,5000,10,1,8,11695,16232,246,28173,5.1009
2026-05-22T11:15:22,v1,5000,10,2,1,11712,7252,97,19061,7.5394
2026-05-22T11:15:32,v1,5000,10,2,2,11687,7255,122,19064,7.5382
2026-05-22T11:15:42,v1,5000,10,2,4,11631,7351,162,19144,7.5067
2026-05-22T11:15:51,v1,5000,10,2,8,11627,7395,304,19326,7.4360
2026-05-22T11:16:01,v1,5000,10,4,1,11582,3377,94,15053,9.5469
2026-05-22T11:16:11,v1,5000,10,4,2,11646,1839,66,13551,10.6050
2026-05-22T11:16:20,v1,5000,10,4,4,11719,1091,48,12858,11.1766
2026-05-22T11:16:30,v1,5000,10,4,8,11676,570,39,12285,11.6979
2026-05-22T11:16:40,v1,10000,10,1,1,24708,42786,209,67703,7.2745
2026-05-22T11:16:50,v1,10000,10,1,2,23537,42353,242,66132,7.4473
2026-05-22T11:17:00,v1,10000,10,1,4,23492,44626,282,68400,7.2004
2026-05-22T11:17:10,v1,10000,10,1,8,23613,42146,357,66116,7.4491
2026-05-22T11:17:19,v1,10000,10,2,1,23352,17496,197,41045,11.9992
2026-05-22T11:17:29,v1,10000,10,2,2,24695,18609,227,43531,11.3139
2026-05-22T11:17:39,v1,10000,10,2,4,23390,17420,268,41078,11.9895
2026-05-22T11:17:49,v1,10000,10,2,8,23321,18014,342,41677,11.8172
2026-05-22T11:17:58,v1,10000,10,4,1,23179,7794,185,31158,15.8067
2026-05-22T11:18:08,v1,10000,10,4,2,24689,4508,115,29312,16.8022
2026-05-22T11:18:18,v1,10000,10,4,4,23319,2241,77,25637,19.2108
2026-05-22T11:18:28,v1,10000,10,4,8,23257,1510,58,24825,19.8391
2026-05-22T11:18:39,v1,50000,10,1,1,122574,376879,1066,500519,8.9040
2026-05-22T11:18:50,v1,50000,10,1,2,122077,377486,1062,500625,8.9021
2026-05-22T11:19:01,v1,50000,10,1,4,121868,376966,1116,499950,8.9141
2026-05-22T11:19:13,v1,50000,10,1,8,122078,377281,1208,500567,8.9032
2026-05-22T11:19:23,v1,50000,10,2,1,121980,167706,1069,290755,15.3278
2026-05-22T11:19:34,v1,50000,10,2,2,121315,169959,1041,292315,15.2460
2026-05-22T11:19:44,v1,50000,10,2,4,120938,167740,1099,289777,15.3795
2026-05-22T11:19:55,v1,50000,10,2,8,119791,173951,1197,294939,15.1103
2026-05-22T11:20:06,v1,50000,10,4,1,123611,77550,1042,202203,22.0404
2026-05-22T11:20:16,v1,50000,10,4,2,117536,39962,517,158015,28.2038
2026-05-22T11:20:26,v1,50000,10,4,4,117580,19247,304,137131,32.4990
2026-05-22T11:20:36,v1,50000,10,4,8,117437,9938,188,127563,34.9367
2026-05-22T11:20:50,v1,100000,10,1,1,247224,921105,2146,1170475,9.2641
2026-05-22T11:21:03,v1,100000,10,1,2,246200,924831,2193,1173224,9.2424
2026-05-22T11:21:16,v1,100000,10,1,4,246802,922769,2242,1171813,9.2535
2026-05-22T11:21:29,v1,100000,10,1,8,249197,912310,2353,1163860,9.3168
2026-05-22T11:21:41,v1,100000,10,2,1,243166,410399,2215,655780,16.5351
2026-05-22T11:21:53,v1,100000,10,2,2,245654,416697,2177,664528,16.3175
2026-05-22T11:22:05,v1,100000,10,2,4,244362,408522,2227,655111,16.5520
2026-05-22T11:22:17,v1,100000,10,2,8,242418,409025,2338,653781,16.5857
2026-05-22T11:22:28,v1,100000,10,4,1,237684,175374,2104,415162,26.1185
2026-05-22T11:22:39,v1,100000,10,4,2,237731,93111,1020,331862,32.6745
2026-05-22T11:22:50,v1,100000,10,4,4,238741,46454,554,285749,37.9474
2026-05-22T11:23:01,v1,100000,10,4,8,246631,24286,359,271276,39.9719
2026-05-22T11:23:10,v2,5000,10,1,1,11851,14731,103,26685,5.3854
2026-05-22T11:23:20,v2,5000,10,1,2,11870,14136,129,26135,5.4987
2026-05-22T11:23:30,v2,5000,10,1,4,11759,15613,178,27550,5.2163
2026-05-22T11:23:39,v2,5000,10,1,8,11835,16336,242,28413,5.0579
2026-05-22T11:23:49,v2,5000,10,2,1,11832,7102,51,18985,7.5696
2026-05-22T11:23:59,v2,5000,10,2,2,11911,8878,82,20871,6.8856
