timestamp,version,n_particles,iters,n_threads,tree_us,force_us,integrate_us,total_us,speedup
2026-05-22T11:29:19,v1,5000,10,1,4926,134347,201,139474,1.0655
2026-05-22T11:29:20,v1,5000,10,2,6168,145266,239,151673,0.9798
2026-05-22T11:29:20,v1,5000,10,4,6078,153969,291,160338,0.9268
2026-05-22T11:29:21,v1,5000,10,8,6053,155329,394,161776,0.9186
2026-05-22T11:29:22,v1,10000,10,1,16463,454347,400,471210,1.0016
2026-05-22T11:29:24,v1,10000,10,2,16792,452827,450,470069,1.0040
2026-05-22T11:29:25,v1,10000,10,4,18099,449348,495,467942,1.0086
2026-05-22T11:29:27,v1,10000,10,8,17517,451229,590,469336,1.0056
2026-05-22T11:29:40,v1,50000,10,1,130991,4331612,2031,4464634,1.0002
2026-05-22T11:29:54,v1,50000,10,2,139539,4330564,2081,4472184,0.9985
2026-05-22T11:30:07,v1,50000,10,4,140629,4311517,2209,4454355,1.0025
2026-05-22T11:30:21,v1,50000,10,8,142183,4317142,2302,4461627,1.0009
2026-05-22T11:30:54,v1,100000,10,1,293722,10568077,3960,10865759,1.0006
2026-05-22T11:31:27,v1,100000,10,2,318254,10481246,4062,10803562,1.0063
2026-05-22T11:31:59,v1,100000,10,4,317943,10542487,4175,10864605,1.0007
2026-05-22T11:32:32,v1,100000,10,8,314532,10507364,4316,10826212,1.0042
2026-05-22T11:32:33,v2,5000,10,1,5188,146409,197,151794,0.9790
2026-05-22T11:32:33,v2,5000,10,2,5597,139576,232,145405,1.0220
2026-05-22T11:32:34,v2,5000,10,4,6149,159884,283,166316,0.8935
2026-05-22T11:32:35,v2,5000,10,8,6031,160102,364,166497,0.8925
2026-05-22T11:32:36,v2,10000,10,1,15414,457966,395,473775,0.9962
2026-05-22T11:32:38,v2,10000,10,2,17241,457372,447,475060,0.9935
2026-05-22T11:32:39,v2,10000,10,4,16930,468192,483,485605,0.9719
2026-05-22T11:32:41,v2,10000,10,8,17136,461034,609,478779,0.9858
2026-05-22T11:32:54,v2,50000,10,1,129800,4341540,2011,4473351,0.9983
2026-05-22T11:33:08,v2,50000,10,2,141441,4343126,2122,4486689,0.9953
2026-05-22T11:33:21,v2,50000,10,4,140921,4332629,2197,4475747,0.9978
2026-05-22T11:33:31,v2,50000,10,8,140995,4356265,2351,4499611,0.9925
2026-05-22T11:34:04,v2,100000,10,1,294935,10593510,3906,10892351,0.9981
2026-05-22T11:34:37,v2,100000,10,2,317584,10554638,4369,10876591,0.9996
2026-05-22T11:35:10,v2,100000,10,4,316840,10584042,4140,10905022,0.9970
